jugador,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salario
Tony Bradley,C,24,CHI,55,7,549,72,123,0.585,0,0,0,72,123,0.585,0.585,19,29,0.655,67,119,186,27,10,33,34,62,163,14.9,0.6,0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20,13.6,0.6,0.7,1.3,0.112,-2,0.2,-1.8,0,2036318
Mikal Bridges,SF,25,PHO,82,82,2854,458,858,0.534,115,312,0.369,343,546,0.628,0.601,131,157,0.834,74,273,347,185,96,36,68,150,1162,14.4,0.627,0.364,0.183,2.9,10,6.5,8.7,1.6,1.1,6.8,15,5.2,3.7,8.9,0.15,0.5,1.1,1.6,2.6,20100000
Oshae Brissett,SF,23,IND,67,25,1564,208,506,0.411,83,237,0.35,125,269,0.465,0.493,114,164,0.695,108,250,358,72,44,29,54,116,613,12.9,0.53,0.468,0.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,1.4,0.9,2.2,0.069,-0.5,-1.7,-2.2,-0.1,1846738
Malcolm Brogdon,PG,29,IND,36,36,1206,243,543,0.448,58,186,0.312,185,357,0.518,0.501,143,167,0.856,33,152,185,212,30,14,77,71,687,18,0.557,0.343,0.308,3,14.3,8.6,26.9,1.2,1,11.1,24.6,2.2,0.4,2.7,0.106,2.8,-0.5,2.3,1.3,22600000
Armoni Brooks,SG,23,TOT,54,11,844,98,289,0.339,74,249,0.297,24,40,0.6,0.467,18,21,0.857,20,83,103,62,28,11,27,74,288,8.4,0.483,0.862,0.073,2.5,10.9,6.7,10.4,1.6,1.2,8.3,16.4,-0.1,0.4,0.2,0.014,-2.6,-1.3,-3.9,-0.4,NA
Dillon Brooks,SF,26,MEM,32,31,885,227,526,0.432,46,149,0.309,181,377,0.48,0.475,90,106,0.849,29,73,102,88,36,8,50,105,590,15.5,0.515,0.283,0.202,3.4,8.8,6,15.4,1.9,0.8,8,28.8,0.7,0.9,1.6,0.087,-1,-0.8,-1.8,0,11400000
Bruce Brown,SF,25,BRK,72,45,1774,256,506,0.506,38,94,0.404,218,412,0.529,0.543,97,128,0.758,100,245,345,148,77,52,56,176,647,15,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15,2.8,2,4.8,0.13,-0.4,1.1,0.7,1.2,6479000
Greg Brown III,SF,20,POR,48,6,640,81,190,0.426,19,61,0.311,62,129,0.481,0.476,44,65,0.677,38,97,135,35,26,24,36,90,225,11,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2,3.7,14.1,17.2,-0.1,0.5,0.4,0.029,-4,-0.7,-4.7,-0.4,1563518
Jaylen Brown,SF,25,BOS,66,66,2220,576,1217,0.473,166,464,0.358,410,753,0.544,0.541,241,318,0.758,53,351,404,231,70,18,178,163,1559,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,0.124,1.9,0.1,2.1,2.2,28741071
Moses Brown,C,22,TOT,40,6,345,64,108,0.593,0,0,0,64,108,0.593,0.593,43,72,0.597,39,96,135,1,7,16,20,53,171,18.5,0.612,0,0.667,12.7,30.5,21.7,0.4,1,4.2,12.5,20.7,0.5,0.7,1.2,0.16,-2.4,-0.9,-3.3,-0.1,1836090
