jugador,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salario
Jalen McDaniels,SF,24,CHO,55,2,895,123,254,0.484,41,108,0.38,82,146,0.562,0.565,53,72,0.736,37,133,170,58,26,22,36,93,340,12.7,0.595,0.425,0.283,4.3,16,10.1,8.7,1.4,2.3,11.2,15.3,1,0.7,1.7,0.093,-1.9,-0.4,-2.3,-0.1,1930681
Doug McDermott,PF,30,SAS,51,51,1223,215,465,0.462,108,256,0.422,107,209,0.512,0.578,40,51,0.784,18,97,115,64,13,6,43,79,578,11.4,0.593,0.551,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,1.1,0.5,1.6,0.062,-0.4,-2.1,-2.5,-0.1,13750000
JaVale McGee,C,34,PHO,74,17,1172,288,458,0.629,2,9,0.222,286,449,0.637,0.631,102,146,0.699,163,333,496,42,22,81,98,181,680,22.6,0.651,0.02,0.319,15.3,29.7,22.7,5.4,0.9,6.1,15.8,22.8,2.4,2.6,4.9,0.201,-0.1,0.9,0.8,0.8,5461219
Rodney McGruder,SG,30,DET,51,2,754,98,225,0.436,58,146,0.397,40,79,0.506,0.564,19,26,0.731,31,80,111,48,21,7,24,58,273,11.6,0.577,0.649,0.116,4.2,12.1,8,9.6,1.4,0.8,9.2,14.8,0.7,0.4,1.2,0.075,-0.7,-0.7,-1.4,0.1,1836090
Jordan McLaughlin,PG,25,MIN,62,3,902,88,200,0.44,27,85,0.318,61,115,0.53,0.508,30,40,0.75,22,72,94,180,57,10,38,54,233,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3,1.1,14.9,11.8,1.3,1,2.3,0.123,-1.2,1.6,0.4,0.6,2160000
De'Anthony Melton,SG,23,MEM,73,15,1657,281,695,0.404,139,372,0.374,142,323,0.44,0.504,90,120,0.75,64,264,328,194,104,39,112,128,791,15.2,0.529,0.535,0.173,4,17.1,10.4,16,3,2.1,13,21.3,0.9,2.8,3.7,0.107,0.3,1.6,1.9,1.6,8250000
Sam Merrill,SG,25,MEM,6,0,58,8,24,0.333,7,23,0.304,1,1,1,0.479,2,4,0.5,1,6,7,4,0,0,2,3,25,7.5,0.485,0.958,0.167,1.8,11.1,6.3,9,0,0,7.2,19.6,0,0,0,0.029,-2.2,-3.4,-5.6,-0.1,1836090
Chimezie Metu,C,24,SAC,60,20,1279,203,449,0.452,57,186,0.306,146,263,0.555,0.516,71,91,0.78,34,301,335,60,51,32,61,93,534,13.4,0.546,0.414,0.203,2.9,25.9,14.3,6.9,1.9,2.2,11.1,18.5,0.1,1.4,1.5,0.056,-1.6,0.1,-1.5,0.2,1910860
Khris Middleton,SF,30,MIL,66,66,2141,452,1021,0.443,162,434,0.373,290,587,0.494,0.522,259,291,0.89,41,315,356,358,76,18,190,160,1325,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,0.119,1.9,-0.3,1.6,1.9,37948276
Patty Mills,SG,33,BRK,81,48,2346,324,794,0.408,227,568,0.4,97,226,0.429,0.551,48,59,0.814,18,138,156,183,51,17,73,112,923,10.4,0.563,0.715,0.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,1.9,0.9,2.8,0.058,-0.3,-1.4,-1.7,0.2,6479000
Shake Milton,SG,25,PHI,55,6,1179,173,403,0.429,43,133,0.323,130,270,0.481,0.483,61,73,0.836,30,112,142,139,28,17,44,99,450,11.9,0.517,0.33,0.181,2.9,10.4,6.7,17.6,1.2,1.3,9.2,18.3,0.7,1,1.7,0.069,-1.6,-0.6,-2.2,-0.1,1997718
Davion Mitchell,PG,23,SAC,75,19,2076,352,843,0.418,101,320,0.316,251,523,0.48,0.477,56,85,0.659,33,133,166,313,55,24,114,141,861,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,-0.5,0.6,0.1,0.003,-2.1,-1.7,-3.8,-0.9,4833600
Donovan Mitchell,SG,25,UTA,67,67,2266,617,1376,0.448,232,654,0.355,385,722,0.533,0.533,267,313,0.853,55,227,282,358,99,12,200,164,1733,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,4.7,2.5,7.2,0.152,4.6,-0.3,4.3,3.6,30351780
Evan Mobley,PF,20,CLE,69,69,2331,422,830,0.508,23,92,0.25,399,738,0.541,0.522,167,252,0.663,143,427,570,174,56,115,133,147,1034,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,8478720
Malik Monk,SG,23,LAL,76,37,2139,391,826,0.473,173,442,0.391,218,384,0.568,0.578,93,117,0.795,37,219,256,218,61,29,122,138,1048,14.4,0.597,0.535,0.142,1.9,11,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.081,0.5,-1,-0.5,0.8,9472219
Moses Moody,SG,19,GSW,52,11,607,80,183,0.437,40,110,0.364,40,73,0.548,0.546,28,36,0.778,17,63,80,23,7,10,13,43,228,10.5,0.573,0.601,0.197,3.2,11,7.2,5.3,0.6,1.6,6.1,15.2,0.6,0.7,1.3,0.101,-1.4,-1.1,-2.5,-0.1,3740160
Xavier Moon,SG,27,LAC,10,0,137,25,51,0.49,5,14,0.357,20,37,0.541,0.539,3,5,0.6,2,12,14,24,7,3,6,9,58,16.2,0.545,0.275,0.098,1.6,9,5.4,27,2.5,1.9,10.1,19,0.2,0.2,0.3,0.121,-1.1,1,-0.1,0.1,1637966
Ja Morant,PG,22,MEM,57,57,1889,580,1177,0.493,88,256,0.344,492,921,0.534,0.53,316,415,0.761,77,248,325,384,66,22,196,86,1564,24.4,0.575,0.218,0.353,4.2,14.1,9,34.1,1.7,1,12.6,33.7,4.6,2.1,6.7,0.171,6.2,-0.1,6.1,3.9,12119440
Juwan Morgan,PF,24,TOT,2,0,31,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,0,2,2,4,1,0,0,0,3,5,8.3,0.833,0.667,0,6.6,7.4,7,4.2,0,0,0,4.1,0.1,0,0.1,0.124,-3.3,-3.9,-7.1,0,576230
Marcus Morris,PF,32,LAC,54,54,1564,300,691,0.434,101,275,0.367,199,416,0.478,0.507,129,148,0.872,26,213,239,113,28,18,69,115,830,13.7,0.549,0.398,0.214,1.8,14,8.1,11.3,0.9,1,8.4,23.2,0.9,1.5,2.4,0.074,-0.3,-1,-1.4,0.3,16372093
Monte Morris,PG,26,DEN,75,74,2239,374,773,0.484,124,314,0.395,250,459,0.545,0.564,73,84,0.869,27,199,226,333,56,14,78,92,945,14.7,0.583,0.406,0.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,3.9,1.5,5.4,0.116,0.8,-0.8,0,1.1,9125000
Trey Murphy III,SF,21,NOP,62,1,864,109,277,0.394,71,186,0.382,38,91,0.418,0.522,45,51,0.882,47,100,147,38,23,7,16,60,334,12.5,0.558,0.671,0.184,5.9,13.1,9.4,6.2,1.3,0.8,5.1,15.7,1.3,0.6,1.9,0.104,0.2,-1.4,-1.2,0.2,3206520
Dejounte Murray,PG,25,SAS,68,68,2366,573,1241,0.462,96,294,0.327,477,947,0.504,0.5,196,247,0.794,80,483,563,627,138,23,180,138,1438,22.3,0.533,0.237,0.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,3.9,3.4,7.3,0.149,3.7,1.7,5.4,4.4,16571120
Mike Muscala,C,30,OKC,43,0,592,113,248,0.456,70,163,0.429,43,85,0.506,0.597,48,57,0.842,21,108,129,22,18,26,14,58,344,19.7,0.63,0.657,0.23,3.6,19.1,11.2,6.2,1.5,4.1,4.9,20.9,1.4,0.7,2.1,0.17,3.8,1.2,5,1.1,3500000
Svi Mykhailiuk,SF,24,TOR,56,5,716,91,234,0.389,41,134,0.306,50,100,0.5,0.476,32,37,0.865,20,72,92,45,26,4,32,54,255,9.6,0.509,0.573,0.158,2.9,11.5,7,8.8,1.8,0.5,11.3,16.9,0.1,0.7,0.8,0.052,-2.7,-0.2,-2.9,-0.2,1878720
Larry Nance Jr.,C,29,TOT,46,11,1040,129,247,0.522,23,70,0.329,106,177,0.599,0.569,40,57,0.702,72,176,248,81,43,20,37,84,321,14.4,0.59,0.283,0.231,7.4,19.3,13.1,11.4,2,1.9,12,12.8,1.5,0.8,2.3,0.104,-0.4,0.3,-0.1,0.5,9672727
Aaron Nesmith,SF,22,BOS,52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,3804360
Raul Neto,PG,29,WAS,70,19,1372,204,441,0.463,35,120,0.292,169,321,0.526,0.502,83,108,0.769,13,121,134,217,55,3,79,104,526,12.4,0.538,0.272,0.245,1.1,9.6,5.4,22.9,2,0.2,13.9,18.4,0.7,0.8,1.5,0.053,-2.5,-0.5,-2.9,-0.4,1836090
Georges Niang,PF,28,PHI,76,7,1736,246,563,0.437,156,387,0.403,90,176,0.511,0.575,52,59,0.881,25,178,203,102,30,13,59,190,700,10.7,0.594,0.687,0.105,1.6,11.3,6.5,8.7,0.9,0.7,9.1,16.8,1.5,1.3,2.8,0.077,-0.8,-1.1,-1.9,0,3465000
Daishen Nix,SG,19,HOU,24,0,261,27,67,0.403,7,26,0.269,20,41,0.488,0.455,16,30,0.533,7,26,33,40,15,0,26,21,77,8.1,0.48,0.388,0.448,2.9,11,6.9,21.5,2.7,0,24.5,17.3,-0.3,0.1,-0.2,-0.033,-5.4,-1,-6.4,-0.3,1563518
Zeke Nnaji,PF,21,DEN,41,1,698,96,186,0.516,37,80,0.463,59,106,0.557,0.616,41,65,0.631,56,91,147,17,16,13,23,79,270,13.5,0.629,0.43,0.349,9.3,14.1,11.8,3.4,1.1,1.7,9.7,14.9,1.2,0.6,1.8,0.123,-0.7,-1.6,-2.2,0,2617800
Nerlens Noel,C,27,NYK,25,11,562,32,60,0.533,0,3,0,32,57,0.561,0.533,21,30,0.7,48,93,141,23,30,31,20,67,85,11.8,0.581,0.05,0.5,9,18.1,13.5,5.7,2.7,5.4,21.5,7.3,0.4,1,1.5,0.128,-3.1,3.3,0.3,0.3,9240000
Jaylen Nowell,SG,22,MIN,62,1,975,196,413,0.475,63,160,0.394,133,253,0.526,0.551,72,92,0.783,22,101,123,130,27,10,36,73,527,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1,7.4,21,2.1,0.7,2.8,0.138,1.5,-0.7,0.8,0.7,1930681
Frank Ntilikina,SG,23,DAL,58,5,685,89,223,0.399,38,111,0.342,51,112,0.455,0.484,24,25,0.96,12,67,79,69,27,7,31,61,240,10.4,0.513,0.498,0.112,1.9,10.9,6.4,14.7,2,0.9,11.7,17.4,0.1,0.9,0.9,0.065,-2.8,0.9,-1.9,0,2036318
Jusuf Nurkić,C,27,POR,56,56,1579,321,600,0.535,15,56,0.268,306,544,0.563,0.548,185,268,0.69,167,452,619,157,62,34,143,189,842,20,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,2,1.7,3.6,0.11,0.1,0.2,0.3,0.9,15625000
David Nwaba,SF,29,HOU,46,4,609,85,176,0.483,15,49,0.306,70,127,0.551,0.526,48,67,0.716,41,110,151,35,28,20,21,55,233,15.3,0.567,0.278,0.381,7.4,20,13.6,8.5,2.2,2.9,9.3,15.8,0.8,0.5,1.3,0.105,-0.6,0,-0.6,0.2,5022000
Royce O'Neale,SF,28,UTA,77,77,2406,203,444,0.457,119,306,0.389,84,138,0.609,0.591,45,56,0.804,64,304,368,191,86,32,79,183,570,10.3,0.608,0.689,0.126,3,13.4,8.4,10.5,1.8,1.2,14.4,9.9,2.7,2.8,5.5,0.109,-0.8,1.7,0.8,1.7,9200000
Chuma Okeke,PF,23,ORL,70,20,1749,216,575,0.376,118,371,0.318,98,204,0.48,0.478,55,65,0.846,47,300,347,118,97,42,57,95,605,12,0.501,0.645,0.113,2.8,18.2,10.5,10.1,2.7,2.2,8.6,16.4,-0.3,2.5,2.2,0.06,-1.6,1.5,-0.1,0.8,3433320
Josh Okogie,SG,23,MIN,49,6,516,42,104,0.404,14,47,0.298,28,57,0.491,0.471,35,51,0.686,29,41,70,25,26,12,23,53,133,9,0.526,0.452,0.49,5.9,8.7,7.3,6.2,2.4,2.2,15.4,12.1,0.1,0.5,0.7,0.062,-3.7,0.9,-2.7,-0.1,1836090
Onyeka Okongwu,C,21,ATL,48,6,992,156,226,0.69,0,0,0,156,226,0.69,0.69,80,110,0.727,115,168,283,53,31,60,44,149,392,19.8,0.714,0,0.487,12.8,18.4,15.6,7.6,1.5,5.4,13.8,14,3.1,1.1,4.2,0.202,0,0.8,0.8,0.7,6395160
Isaac Okoro,SF,21,CLE,67,61,1981,207,431,0.48,55,157,0.35,152,274,0.555,0.544,119,155,0.768,72,129,201,121,56,22,58,164,588,10.4,0.589,0.364,0.36,4.1,7.1,5.6,8.5,1.4,1,10.4,12.4,2.4,1.9,4.2,0.103,-2.4,0.7,-1.7,0.1,7040880
Victor Oladipo,SG,29,MIA,8,1,173,35,73,0.479,15,36,0.417,20,37,0.541,0.582,14,19,0.737,3,20,23,28,5,1,16,13,99,16.8,0.608,0.493,0.26,2,12.9,7.5,26.3,1.4,0.6,16.4,25.1,0.2,0.2,0.4,0.124,1.8,-0.5,1.3,0.1,8750000
Kelly Olynyk,C,30,DET,40,1,764,128,286,0.448,40,119,0.336,88,167,0.527,0.517,69,89,0.775,54,123,177,111,31,19,58,100,365,16.7,0.561,0.416,0.311,7.3,18.3,12.5,23.3,2,2.2,15.1,21.5,0.8,0.8,1.6,0.104,0.5,1,1.6,0.7,12804878
Cedi Osman,SF,26,CLE,66,3,1462,247,572,0.432,128,359,0.357,119,213,0.559,0.544,87,131,0.664,25,121,146,135,52,10,67,127,709,13.3,0.563,0.628,0.229,1.9,9,5.5,14.1,1.8,0.6,9.6,21.1,1.3,1.6,2.9,0.094,-0.3,0.5,0.2,0.8,7426088
Kelly Oubre Jr.,SF,26,CHO,76,13,1999,410,932,0.44,191,553,0.345,219,379,0.578,0.542,126,189,0.667,79,223,302,84,77,31,67,189,1137,14.9,0.56,0.593,0.203,4.1,12,8,6.2,1.8,1.5,6.2,23,1.8,1.4,3.3,0.079,0.2,-1.6,-1.4,0.3,12600000
Chris Paul,PG,36,PHO,65,65,2139,363,736,0.493,63,199,0.317,300,537,0.559,0.536,169,202,0.837,22,261,283,702,121,20,153,134,958,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4,28400000
Cameron Payne,PG,27,PHO,58,12,1278,240,587,0.409,71,211,0.336,169,376,0.449,0.469,75,89,0.843,24,151,175,282,40,17,103,119,626,13.8,0.5,0.359,0.152,2.1,12.3,7.3,30.7,1.5,1.2,14.1,24.6,0.2,1.8,1.9,0.073,-0.4,0.4,0,0.7,6000000
Gary Payton II,SG,29,GSW,71,16,1247,212,344,0.616,43,120,0.358,169,224,0.754,0.679,35,58,0.603,72,175,247,64,96,22,40,131,502,17.8,0.679,0.349,0.169,6.5,14.9,10.8,7.6,3.8,1.7,9.8,14.3,2.5,2.6,5.2,0.199,0.3,3.4,3.7,1.8,8300000
Theo Pinson,SF,26,DAL,19,0,148,14,39,0.359,10,30,0.333,4,9,0.444,0.487,10,10,1,2,19,21,17,5,2,5,12,48,11.9,0.553,0.769,0.256,1.5,14.3,7.9,15.9,1.7,1.2,10.3,14.7,0.2,0.2,0.4,0.122,-1.5,1,-0.5,0.1,1836090
Mason Plumlee,C,31,CHO,73,73,1793,205,320,0.641,0,2,0,205,318,0.645,0.641,67,171,0.392,176,389,565,226,61,52,100,224,477,14.7,0.603,0.006,0.534,10.2,23.3,16.7,16.4,1.6,2.7,20.2,11.7,2.7,2,4.7,0.127,-1.5,1.5,0,0.9,9080417
Jakob Poeltl,C,26,SAS,68,67,1970,410,663,0.618,1,1,1,409,662,0.618,0.619,94,190,0.495,262,372,634,189,45,118,109,212,915,20.8,0.613,0.002,0.287,13.9,20,16.9,14,1.1,5,12.7,18.3,4.4,2.5,6.9,0.168,0.9,0.7,1.6,1.7,9398148
Aleksej Pokusevski,PF,20,OKC,61,12,1233,186,456,0.408,57,197,0.289,129,259,0.498,0.47,35,50,0.7,73,245,318,131,39,38,94,88,464,12,0.485,0.432,0.11,6,20.8,13.3,16.5,1.5,2.9,16.4,20,-1.1,1.5,0.4,0.014,-2.7,0.1,-2.6,-0.2,3261480
Jordan Poole,SG,22,GSW,76,51,2283,474,1058,0.448,211,580,0.364,263,478,0.55,0.548,246,266,0.925,34,226,260,304,60,23,187,206,1405,16.1,0.598,0.548,0.251,1.7,10.5,6.2,21,1.3,1,13.7,26,3.1,2.9,6,0.126,1.3,-0.3,1,1.7,3901399
Kevin Porter Jr.,PG,21,HOU,61,61,1907,335,808,0.415,155,413,0.375,180,395,0.456,0.511,124,193,0.642,43,224,267,376,69,22,192,156,949,13.5,0.531,0.511,0.239,2.5,13,7.7,30.7,1.7,1,17.7,24.1,0,0.8,0.8,0.021,-0.1,-1.6,-1.6,0.2,3217631
Michael Porter Jr.,SF,23,DEN,9,9,265,37,103,0.359,10,48,0.208,27,55,0.491,0.408,5,9,0.556,9,50,59,17,10,2,12,16,89,7.5,0.416,0.466,0.087,3.9,20.4,12.4,8.9,1.9,0.7,10.1,19.7,-0.5,0.3,-0.2,-0.032,-3.9,0.5,-3.5,-0.1,30913750
Otto Porter Jr.,PF,28,GSW,63,15,1396,193,416,0.464,80,216,0.37,113,200,0.565,0.56,49,61,0.803,86,276,362,94,68,29,37,83,515,15.9,0.581,0.519,0.147,6.9,21,14.2,9.6,2.4,2,7.7,15,2.2,2.7,4.9,0.168,1,2.1,3.1,1.8,6000000
Bobby Portis,C,26,MIL,72,59,2028,417,871,0.479,133,338,0.393,284,533,0.533,0.555,85,113,0.752,180,477,657,86,53,51,90,174,1052,17.7,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,2.9,2.6,5.5,0.131,1.2,-1,0.2,1.1,10843350
Kristaps Porziņģis,PF,26,TOT,51,51,1481,352,767,0.459,78,252,0.31,274,515,0.532,0.51,248,286,0.867,102,309,411,119,37,84,81,137,1030,23.7,0.577,0.329,0.373,7.7,23.1,15.4,13.7,1.3,5,8.3,29.5,3.2,2.4,5.6,0.18,3.3,0.6,3.9,2.2,33833400
Dwight Powell,C,30,DAL,82,71,1798,269,401,0.671,13,37,0.351,256,364,0.703,0.687,166,212,0.783,173,231,404,97,37,39,64,220,717,18.1,0.725,0.092,0.529,10.7,14.3,12.5,8.1,1,2,11.5,14,6,2.2,8.2,0.219,0.4,0.5,0.9,1.3,11080125
Norman Powell,SF,28,TOT,45,41,1458,279,605,0.461,106,253,0.419,173,352,0.491,0.549,189,233,0.811,20,125,145,96,42,21,69,106,853,16.3,0.603,0.418,0.385,1.5,9.7,5.4,10.8,1.4,1.4,8.9,23.1,2.4,0.4,2.8,0.093,1.2,-1.5,-0.3,0.6,16758621
Joshua Primo,SF,19,SAS,50,16,965,101,270,0.374,42,137,0.307,59,133,0.444,0.452,44,59,0.746,32,81,113,81,20,23,57,79,288,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,-0.6,0.6,0,0.001,-3.8,-1.1,-5,-0.7,4144320
Taurean Prince,PF,27,MIN,69,8,1177,177,390,0.454,86,229,0.376,91,161,0.565,0.564,62,82,0.756,26,148,174,68,47,23,53,116,502,12.4,0.589,0.587,0.21,2.3,13.8,7.9,8.1,1.9,1.9,11.1,17,1,1.2,2.2,0.09,-1,0,-0.9,0.3,7295000
Payton Pritchard,PG,24,BOS,71,2,1001,160,373,0.429,101,245,0.412,59,128,0.461,0.564,21,21,1,32,102,134,139,25,6,41,61,442,15,0.578,0.657,0.056,3.5,10.8,7.2,20.4,1.2,0.5,9.7,18.6,1.8,1.2,3.1,0.148,1.7,0.1,1.8,1,2239200
Trevelin Queen,SG,24,HOU,10,0,74,15,33,0.455,9,24,0.375,6,9,0.667,0.591,4,4,1,7,9,16,4,5,1,7,6,43,18.2,0.619,0.727,0.121,10.3,13.4,11.9,8.8,3.2,1.2,16.8,23.9,0.1,0.1,0.1,0.08,2.7,-0.8,1.9,0.1,1637966
Immanuel Quickley,PG,22,NYK,78,3,1802,284,724,0.392,137,396,0.346,147,328,0.448,0.487,177,201,0.881,31,216,247,275,54,3,99,167,882,14.6,0.543,0.547,0.278,1.8,13.1,7.4,24.5,1.5,0.2,10.9,22.2,2.5,1.8,4.2,0.113,0.2,0,0.2,1,2316240
Julius Randle,PF,27,NYK,72,72,2544,512,1246,0.411,120,390,0.308,392,856,0.458,0.459,303,401,0.756,125,591,716,370,53,39,245,205,1447,15.7,0.509,0.313,0.322,5.2,25.5,15.1,25.1,1,1.5,14.7,28.7,-0.3,3.4,3.1,0.059,0.4,0.2,0.5,1.6,23760000
Austin Reaves,SG,23,LAL,61,19,1418,146,318,0.459,53,167,0.317,93,151,0.616,0.542,99,118,0.839,45,148,193,110,29,20,40,87,444,11.5,0.6,0.525,0.371,3.4,11.2,7.3,10.3,1,1.3,9.8,12.4,2.1,0.8,2.9,0.097,-1.3,-0.6,-1.9,0,1563518
Cam Reddish,SF,22,TOT,49,7,1012,165,408,0.404,66,184,0.359,99,224,0.442,0.485,101,112,0.902,25,80,105,48,47,15,57,60,497,12.8,0.543,0.451,0.275,2.7,8.6,5.7,7,2.3,1.4,11.1,22.2,0.2,0.8,1,0.046,-1,-0.3,-1.3,0.2,5954454
Davon Reed,SG,26,DEN,48,5,668,81,161,0.503,37,86,0.43,44,75,0.587,0.618,10,15,0.667,14,94,108,53,24,9,16,63,209,12.2,0.624,0.534,0.093,2.4,15.2,9,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,0.117,-0.6,0.3,-0.3,0.3,1902133
Paul Reed,C,22,PHI,38,2,302,54,96,0.563,2,8,0.25,52,88,0.591,0.573,6,14,0.429,44,48,92,16,33,14,10,57,116,21.4,0.568,0.083,0.146,16.6,17.4,17,8.3,5.5,4.2,8.9,16.7,0.6,0.7,1.3,0.212,-0.8,2.9,2.1,0.3,1782621
Naz Reid,C,22,MIN,77,6,1215,233,476,0.489,57,166,0.343,176,310,0.568,0.549,114,149,0.765,102,199,301,71,40,71,82,172,637,17.2,0.588,0.349,0.313,8.8,18,13.3,8.7,1.6,5.6,13.2,21.4,1.5,1.6,3.2,0.125,-0.5,0.5,0,0.6,1930681
Nick Richards,C,24,CHO,50,5,367,60,90,0.667,0,0,0,60,90,0.667,0.667,30,43,0.698,34,52,86,13,9,21,24,51,150,15.9,0.689,0,0.478,9.7,15.2,12.4,4.9,1.2,5.4,18.1,15.4,0.6,0.3,1,0.125,-2.6,-0.2,-2.8,-0.1,1782621
Josh Richardson,SG,28,TOT,65,7,1600,234,534,0.438,102,246,0.415,132,288,0.458,0.534,96,108,0.889,42,143,185,115,56,29,66,116,666,12.8,0.573,0.461,0.202,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,1.6,2,3.5,0.106,-0.6,0.7,0.1,0.9,12196094
Austin Rivers,SG,29,DEN,67,18,1480,146,350,0.417,79,231,0.342,67,119,0.563,0.53,32,44,0.727,19,95,114,90,51,6,54,121,403,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8,1.7,0.4,12.8,12.6,0.1,1.1,1.2,0.037,-3.5,-0.3,-3.8,-0.7,1836090
Duncan Robinson,SG,27,MIA,79,68,2043,290,726,0.399,232,624,0.372,58,102,0.569,0.559,51,61,0.836,24,179,203,129,42,14,60,201,863,10.6,0.573,0.86,0.084,1.4,9.8,5.6,9.3,1,0.7,7.4,17.7,1.9,2,3.9,0.092,-0.3,-0.3,-0.6,0.7,16902000
Mitchell Robinson,C,23,NYK,72,62,1848,261,343,0.761,0,0,0,261,343,0.761,0.761,88,181,0.486,295,322,617,38,58,133,60,195,610,20.7,0.722,0,0.528,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,5.3,3.2,8.5,0.221,1,1.2,2.2,2,17045454
Jeremiah Robinson-Earl,C,21,OKC,49,36,1087,134,324,0.414,58,165,0.352,76,159,0.478,0.503,40,54,0.741,75,199,274,49,29,15,39,75,366,11.7,0.526,0.509,0.167,7,19.1,13,6.7,1.3,1.3,10.1,15.4,0.4,1,1.5,0.065,-1.9,-0.4,-2.2,-0.1,2000000
Isaiah Roby,PF,23,OKC,45,28,948,166,323,0.514,44,99,0.444,122,224,0.545,0.582,78,116,0.672,75,142,217,71,36,34,43,109,454,18.3,0.607,0.307,0.359,8,15.6,11.8,12.1,1.8,3.3,10.3,19,1.8,1.1,2.9,0.147,0.4,0.2,0.6,0.6,1930681
Derrick Rose,PG,33,NYK,26,4,636,122,274,0.445,37,92,0.402,85,182,0.467,0.513,30,31,0.968,21,57,78,103,22,12,39,15,311,16.9,0.541,0.336,0.113,3.5,9.8,6.6,27.5,1.7,1.9,11.9,22.5,0.8,0.7,1.4,0.108,2.3,0,2.3,0.7,14520730
Terrence Ross,SG,30,ORL,63,0,1448,220,554,0.397,77,264,0.292,143,290,0.493,0.467,112,130,0.862,20,141,161,116,28,12,75,68,629,10,0.515,0.477,0.235,1.5,10.3,5.9,12.5,0.9,0.8,10.9,20.5,-0.5,0.9,0.3,0.011,-2.5,-1.1,-3.7,-0.6,11500000
Terry Rozier,SG,27,CHO,73,73,2458,518,1167,0.444,222,593,0.374,296,574,0.516,0.539,150,176,0.852,56,259,315,326,93,25,96,119,1408,17.6,0.566,0.508,0.151,2.4,11.3,6.8,19.7,1.8,1,7.2,23.2,4.3,1.6,5.9,0.115,2.4,-0.7,1.7,2.3,21486316
Ricky Rubio,PG,31,CLE,34,8,970,149,411,0.363,59,174,0.339,90,237,0.38,0.434,88,103,0.854,15,126,141,225,49,7,90,75,445,14,0.488,0.423,0.251,1.7,14.1,8,34.6,2.5,0.6,16.5,24.9,-0.1,1.4,1.3,0.064,-1,1.2,0.2,0.5,5853659
D'Angelo Russell,PG,25,MIN,65,65,2077,401,975,0.411,176,518,0.34,225,457,0.492,0.502,198,240,0.825,25,191,216,460,62,22,165,130,1176,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1,13.2,25.1,2.9,1.5,4.4,0.101,2.2,-1.5,0.8,1.4,31377750
Domantas Sabonis,PF,25,TOT,62,61,2136,443,773,0.573,39,125,0.312,404,648,0.623,0.598,246,332,0.741,201,551,752,323,59,27,195,203,1171,21.9,0.637,0.162,0.429,10.3,29,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,0.159,3.2,0.9,4.1,3.2,18500000
Alperen Şengün,C,19,HOU,72,13,1489,249,525,0.474,29,117,0.248,220,408,0.539,0.502,165,232,0.711,138,255,393,185,59,68,145,214,692,16,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22,0.8,1.3,2.1,0.068,-1.6,0.6,-1,0.4,3375360
