Rk,Player,Tm,2019-20
326,Aaron Holiday\holidaa01,IND,$2239200
327,Luke Kornet\kornelu01,CHI,$2195122
328,Ty Jerome\jeromty01,PHO,$2193480
329,Willie Cauley-Stein\caulewi01,DAL,$2177483
330,Austin Rivers\riverau01,HOU,$2174318
331,Carmelo Anthony\anthoca01,POR,$2159029
332,Anfernee Simons\simonan01,POR,$2149560
333,Matt Barnes\barnema02,SAC,$2133541
334,Nassir Little\littlna01,POR,$2105520
335,Torrey Craig\craigto01,DEN,$2100000
336,Moritz Wagner\wagnemo01,WAS,$2063520
337,Dylan Windler\windldy01,CLE,$2035800
338,Caleb Swanigan\swanica01,POR,$2033160
339,Trey Burke\burketr01,PHI,$2028594
340,Kyle O'Quinn\oquinky01,PHI,$2028594
341,Michael Carter-Williams\cartemi01,ORL,$2028594
342,Mike Muscala\muscami01,OKC,$2028594
343,Nerlens Noel\noelne01,OKC,$2028594
344,Troy Daniels\danietr01,LAL,$2028594
345,Ben McLemore\mclembe01,HOU,$2028594
346,Spencer Hawes\hawessp01,MIL,$2007058
347,Edmond Sumner\sumneed01,IND,$2000000
348,Avery Bradley\bradlav01,MEM,$2000000
349,Noah Vonleh\vonleno01,DEN,$2000000
350,Landry Shamet\shamela01,LAC,$1995120
351,Mfiondu Kabengele\kabenmf01,LAC,$1977000
352,Kyle Kuzma\kuzmaky01,LAL,$1974600
353,Jordan Poole\poolejo01,GSW,$1964760
354,Tony Bradley\bradlto01,UTA,$1962360
355,Keldon Johnson\johnske04,SAS,$1950600
356,Derrick White\whitede01,SAS,$1948080
357,Robert Williams\williro04,BOS,$1937520
358,Josh Hart\hartjo01,NOP,$1934160
359,Jacob Evans\evansja02,MIN,$1925880
360,Anderson Varejão\varejan01,POR,$1913345
361,Džanan Musa\musadz01,BRK,$1911600
362,Omari Spellman\spellom01,MIN,$1897800
363,Shabazz Napier\napiesh01,WAS,$1882867
364,Glenn Robinson\robingl02,PHI,$1882867
365,James Ennis\ennisja01,ORL,$1882867
366,Tim Frazier\fraziti01,DET,$1882867
367,Larry Sanders\sandela01,MIL,$1865547
368,Bruno Caboclo\cabocbr01,HOU,$1845301
369,Markieff Morris\morrima02,LAL,$1750000
370,Mario Hezonja\hezonma01,POR,$1737145
371,Emmanuel Mudiay\mudiaem01,UTA,$1737145
372,Raul Neto\netora01,PHI,$1737145
373,JaKarr Sampson\sampsja02,IND,$1737145
374,Pat Connaughton\connapa01,MIL,$1723050
375,Jahlil Okafor\okafoja01,NOP,$1702486
376,Rodions Kurucs\kurucro01,BRK,$1699236
377,Jonah Bolden\boldejo01,PHI,$1698450
378,Georges Niang\niangge01,UTA,$1678854
379,Cheick Diallo\diallch01,PHO,$1678854
380,Dragan Bender\bendedr01,MIL,$1678854
381,David Nwaba\nwabada01,BRK,$1678854
382,Treveon Graham\grahatr01,ATL,$1678854
383,Willy Hernangómez\hernawi01,CHO,$1676735
384,Derrick Jones\jonesde02,MIA,$1645357
385,Jordan McRae\mcraejo01,DET,$1645357
386,Christian Wood\woodch01,DET,$1645357
387,Furkan Korkmaz\korkmfu01,PHI,$1620564
388,Jordan Bell\belljo01,MEM,$1620564
389,Justin Patton\pattoju01,DAL,$1620564
390,Royce O'Neale\onealro01,UTA,$1618520
391,Dillon Brooks\brookdi01,MEM,$1618520
392,Wesley Iwundu\iwundwe01,ORL,$1618520
393,Abdel Nader\naderab01,OKC,$1618520
394,Damyean Dotson\dotsoda01,NYK,$1618520
395,Frank Jackson\jacksfr01,NOP,$1618520
396,Sterling Brown\brownst02,MIL,$1618520
397,Dwayne Bacon\bacondw01,CHO,$1618520
398,Semi Ojeleye\ojelese01,BOS,$1618520
399,Chris Boucher\bouchch01,TOR,$1588231
400,Malcolm Miller\millema01,TOR,$1588231
401,Monte Morris\morrimo01,DEN,$1588231
402,Mitchell Robinson\robinmi01,NYK,$1559712
403,Vlatko Čančar\cancavl01,DEN,$1517981
404,Isaiah Roby\robyis01,OKC,$1500000
405,Nigel Williams-Goss\willini01,UTA,$1500000
406,J.R. Smith\smithjr01,CLE,$1456667
407,Shake Milton\miltosh01,PHI,$1445697
408,Thanasis Antetokounmpo\antetth01,MIL,$1445697
409,Amile Jefferson\jeffeam01,ORL,$1445697
410,Theo Pinson\pinsoth01,NYK,$1445697
411,Brad Wanamaker\wanambr01,BOS,$1445697
412,Derrick Walton\waltode01,ATL,$1445697
413,Ryan Broekhoff\broekry01,DAL,$1443842
414,Gary Trent\trentga02,POR,$1416852
415,Isaac Bonga\bongais01,WAS,$1416852
416,Chimezie Metu\metuch01,SAS,$1416852
417,Jevon Carter\carteje01,PHO,$1416852
418,Elie Okobo\okoboel01,PHO,$1416852
419,Melvin Frazier\frazime01,ORL,$1416852
420,Deonte Burton\burtode02,OKC,$1416852
421,Hamidou Diallo\diallha01,OKC,$1416852
422,Kenrich Williams\willike04,NOP,$1416852
423,Jarred Vanderbilt\vandeja01,MIN,$1416852
424,Duncan Robinson\robindu01,MIA,$1416852
425,Kendrick Nunn\nunnke01,MIA,$1416852
426,De'Anthony Melton\meltode01,MEM,$1416852
427,Alize Johnson\johnsal02,IND,$1416852
428,Isaiah Hartenstein\harteis01,HOU,$1416852
429,Sviatoslav Mykhailiuk\mykhasv01,DET,$1416852
430,Bruce Brown\brownbr01,DET,$1416852
431,Keita Bates-Diop\bateske01,DEN,$1416852
432,Devonte' Graham\grahade01,CHO,$1416852
433,Jalen Brunson\brunsja01,DAL,$1416582
434,Bruno Fernando\fernabr01,ATL,$1400000
435,Jaylen Nowell\nowelja01,MIN,$1400000
436,Alfonzo McKinnie\mckinal01,CLE,$1361046
437,Kevin Porter\porteke02,CLE,$1290960
438,Carsen Edwards\edwarca01,BOS,$1228026
439,Cody Martin\martico01,CHO,$1173310
440,Gary Payton\paytoga02,WAS,$1090781
441,George Hill\hillge01,MIL,$1000000
442,Terance Mann\mannte01,LAC,$1000000
443,Jonathon Simmons\simmojo02,WAS,$1000000
444,Justin Hamilton\hamilju01,TOR,$1000000
445,Kyle Singler\singlky01,OKC,$999200
446,Marvin Williams\willima02,MIL,$956349
447,David Nwaba\nwabada01,HOU,$903111
448,Admiral Schofield\schofad01,WAS,$898310
449,KZ Okpala\okpalkz01,MIA,$898310
450,Eric Paschall\pascher01,GSW,$898310
451,Nicolas Claxton\claxtni01,BRK,$898310
452,Justin James\jamesju01,SAC,$898310
453,Jalen Lecque\lecquja01,PHO,$898310
454,Ignas Brazdeikis\brazdig01,NYK,$898310
455,Talen Horton-Tucker\hortota01,LAL,$898310
456,Daniel Gafford\gaffoda01,CHI,$898310
457,Alen Smailagić\smailal01,GSW,$898310
458,Matt Thomas\thomama02,TOR,$898310
459,Miye Oni\onimi01,UTA,$898310
460,Dewan Hernandez\hernade01,TOR,$898310
461,Terence Davis\daviste02,TOR,$898310
462,Wenyen Gabriel\gabriwe01,POR,$898310
463,Naz Reid\reidna01,MIN,$898310
464,Jalen McDaniels\mcdanja01,CHO,$898310
465,Caleb Martin\martica02,CHO,$898310
466,Shaquille Harrison\harrish01,CHI,$898310
467,Javonte Green\greenja02,BOS,$898310
468,Damion Lee\leeda03,GSW,$842327
469,Khyri Thomas\thomakh01,DET,$838464
470,DeMarre Carroll\carrode01,HOU,$811447
471,Michael Kidd-Gilchrist\kiddgmi01,DAL,$810763
472,Marquese Chriss\chrisma01,GSW,$758804
473,Juwan Morgan\morgaju01,UTA,$746054
474,Patrick Patterson\pattepa01,OKC,$737067
475,Reggie Jackson\jacksre01,LAC,$734025
476,Alfonzo McKinnie\mckinal01,CLE,$708871
477,Gary Clark\clarkga01,HOU,$708426
478,Jeff Green\greenje02,HOU,$695526
479,Cole Aldrich\aldrico01,MIN,$685340
480,Shaun Livingston\livinsh01,GSW,$666667
481,Marquese Chriss\chrisma01,GSW,$654468
482,Timothé Luwawu-Cabarrot\luwawti01,BRK,$654468
483,Rayjon Tucker\tuckera01,UTA,$578573
484,Chris Clemons\clemoch01,HOU,$568422
485,Gary Clark\clarkga01,ORL,$555409
486,Brandon Goodwin\goodwbr01,ATL,$522738
487,Dion Waiters\waitedi01,LAL,$503656
488,Ryan Anderson\anderry01,HOU,$500000
489,Anžejs Pasečņiks\pasecan01,WAS,$482144
490,Troy Daniels\danietr01,DEN,$481000
491,Chris Silva\silvach01,MIA,$466918
492,Dakari Johnson\johnsda04,MEM,$459414
493,Iman Shumpert\shumpim01,BRK,$419443
494,Max Strus\strusma01,BOS,$415414
495,Justin Robinson\robinju01,WAS,$395866
496,Dean Wade\wadede01,CLE,$375000
497,Ivan Rabb\rabbiv01,MEM,$371758
498,Norvel Pelle\pelleno01,PHI,$350189
499,Ky Bowman\bowmaky01,GSW,$350189
500,Juan Toscano-Anderson\toscaju01,GSW,$350189
501,A.J. Hammons\hammoaj01,MIA,$350087
502,Festus Ezeli\ezelife01,POR,$333333
503,C.J. Watson\watsocj01,ORL,$333333
504,Anthony Tolliver\tollian01,MEM,$289803
505,Joakim Noah\noahjo01,LAC,$289803
506,Corey Brewer\breweco01,SAC,$289803
507,J.R. Smith\smithjr01,LAL,$289803
508,Luc Mbah a Moute\mbahalu01,HOU,$289803
509,Jamal Crawford\crawfja01,BRK,$289803
510,Lance Thomas\thomala01,BRK,$262152
511,Stanton Kidd\kiddst01,UTA,$250000
512,Jordan Bell\belljo01,CLE,$250000
513,Tyler Zeller\zellety01,SAS,$245686
514,Trey Burke\burketr01,DAL,$229220
515,Joe Johnson\johnsjo02,DET,$220000
516,Tyler Johnson\johnsty01,BRK,$212753
517,Jemerrio Jones\jonesje01,WAS,$199000
518,Jontay Porter\portejo01,MEM,$197933
519,Justin Anderson\anderju01,BRK,$196288
520,Jerian Grant\grantje02,WAS,$196288
521,Cameron Payne\payneca01,PHO,$196288
522,Timothé Luwawu-Cabarrot\luwawti01,BRK,$189702
523,Dragan Bender\bendedr01,GSW,$189702
524,Mychal Mulder\muldemy01,GSW,$187782
525,Sindarius Thornwell\thornsi01,NOP,$183115
526,Justin Patton\pattoju01,DET,$183115
527,PJ Dozier\doziepj01,DEN,$183115
528,Alfonzo McKinnie\mckinal01,CLE,$183114
529,Gary Clark\clarkga01,ORL,$163356
530,Jarrod Uthoff\uthofja01,WAS,$163356
531,Jaylen Adams\adamsja01,POR,$163356
532,Joe Chealey\chealjo01,CHO,$163356
533,Luguentz Dort\dortlu01,OKC,$155647
534,Cameron Payne\payneca01,TOR,$150000
535,Jeff Green\greenje02,HOU,$144901
536,Anthony Tolliver\tollian01,MEM,$144901
537,Joakim Noah\noahjo01,LAC,$144901
538,Troy Williams\willitr02,HOU,$122741
539,Johnathan Williams\willijo04,WAS,$106181
540,Tyler Cook\cookty01,CLE,$101504
541,Donta Hall\halldo01,DET,$101504
542,Donta Hall\halldo01,BRK,$101504
543,Yante Maten\matenya01,MIA,$100000
544,Jaylen Adams\adamsja01,ATL,$100000
545,Justin Anderson\anderju01,BRK,$98144
546,Demetrius Jackson\jacksde01,BOS,$92857
547,Chasson Randle\randlch01,GSW,$91557
548,Jeremy Pargo\pargoje01,GSW,$91557
549,Jonah Bolden\boldejo01,PHO,$81678
550,Josh Magette\magetjo01,ORL,$81678
551,Jarrod Uthoff\uthofja01,MEM,$81678
552,Dusty Hannahs\hannadu01,MEM,$81678
553,Derrick Walton\waltode01,DET,$81678
554,Sheldon Mac\mcclesh01,CLE,$81678
555,J.P. Macura\macurjp01,CLE,$81678
