id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
cYGJLLyuzfSK9YtjKsRJVg==,Belgrano,4,2,106,97,309000,Departamento,309
r6c9+KeMNxIELcLUF4xE8Q==,Barrio Norte,4,2,145,130,265000,Departamento,265
2fxDHdM92xmIqB2ty85XdA==,Villa Crespo,4,1,80,77,125000,Departamento,125
hDLHnp+qcnWAZ/lihcTydA==,Parque Chacabuco,4,1,151,54,140000,Departamento,140
kbvFLsq+4YvukoZ3Z8s/ig==,Villa del Parque,4,1,176,170,260000,Departamento,260
TxcJvJ+Bmsv5Phcc6Tk5ag==,Recoleta,5,3,146,146,360000,Departamento,360
XVkgokTF+1Tf4LD8JLc79Q==,Palermo,5,4,236,191,1200000,Departamento,1200
DOJWeadx4HX9zpS3f9fovw==,Palermo,5,3,81,81,185000,Departamento,185
4orVLz1+2A0sIZQPRilSkQ==,Palermo,5,2,146,134,330000,Departamento,330
G4tXcK3JavLjTbWQhY3MXQ==,Saavedra,6,1,196,124,259000,PH,259
mpPLbdvI12CIfHOikcfhsw==,Caballito,6,3,454,334,475000,Casa,475
6vOoXgsQl9j1jtTgn1yW0g==,Coghlan,6,5,421,421,765000,Casa,765
pJzkemCBJ/AQZpdGIy4onw==,Villa Devoto,7,3,164,112,297000,Casa,297
VW0Vmt2wQxzvUVhE3Cbnfg==,Palermo,7,5,304,300,1200000,Departamento,1200
so3cjfVJst7MWEWTkx4Rfw==,Palermo,7,5,304,300,1200000,Departamento,1200
IW/gEcklqN2xxA6H1VVAAQ==,Flores,1,1,24,22,59000,Departamento,59
M/jyJSa9AC9lz6VewhJamg==,Nuñez,1,1,37,33,89000,Departamento,89
nk86CnOLotIeuF1DdFQW1Q==,Nuñez,1,1,37,33,85000,Departamento,85
8JJkQ5VPMga7Z/UeMnZFbg==,Palermo,1,1,35,33,79000,Departamento,79
eUdsAmecyawuZnpP9rToYA==,Belgrano,1,1,43,38,135000,Departamento,135
mTG9wok8Xz0yVinueDimHA==,Belgrano,1,1,37,33,89000,Departamento,89
PYw9HN2ID2NxmTycyaSBCw==,Belgrano,1,1,37,33,85000,Departamento,85
LyGZOv9QgTYuj9jB0GdKqQ==,Floresta,1,1,36,33,65000,Departamento,65
9vuEbUdoWbjGQSOOGxlx5w==,Mataderos,1,1,28,28,69000,Departamento,69
S9PyiXLNub2yXVgz9M9EXw==,Barrio Norte,1,1,31,26,74700,Departamento,75
vsRHF/P/XPiCQxAD48xQow==,San Cristobal,1,1,25,25,42000,Departamento,42
ne5ftwVfVTIBF+y8saiQrw==,Villa Urquiza,1,1,31,27,79500,Departamento,80
JRFLGQvaIiDYIzT1oa7jnQ==,Saavedra,2,1,57,50,114900,PH,115
